Jday,emerge_date,line,rep,leaf,area_cm2,therm_time,emerge_therm_time,germ_dates,germ_therm_time,therm_time_adj,emerge_therm_time_adj
315,299,CC,4,4,34.42,15334.8716263725,7360.18988658917,288,1782.212276865,13552.6593495075,5577.97760972417
317,299,CC,4,4,35.52,16361.6030911408,7360.18988658917,288,1782.212276865,14579.3908142758,5577.97760972417
319,299,CC,4,4,40.65,17372.6732596442,7360.18988658917,288,1782.212276865,15590.4609827792,5577.97760972417
310,302,CC,4,5,1.62,12828.4880273992,8861.14282276251,288,1782.212276865,11046.2757505342,7078.93054589751
312,302,CC,4,5,16.39,13822.6696153242,8861.14282276251,288,1782.212276865,12040.4573384592,7078.93054589751
315,302,CC,4,5,34.98,15334.8716263725,8861.14282276251,288,1782.212276865,13552.6593495075,7078.93054589751
317,302,CC,4,5,41.68,16361.6030911408,8861.14282276251,288,1782.212276865,14579.3908142758,7078.93054589751
319,302,CC,4,5,52.35,17372.6732596442,8861.14282276251,288,1782.212276865,15590.4609827792,7078.93054589751
312,306,CC,4,6,6.26,13822.6696153242,10841.8453505625,288,1782.212276865,12040.4573384592,9059.63307369747
315,306,CC,4,6,25.75,15334.8716263725,10841.8453505625,288,1782.212276865,13552.6593495075,9059.63307369747
317,306,CC,4,6,31.94,16361.6030911408,10841.8453505625,288,1782.212276865,14579.3908142758,9059.63307369747
319,306,CC,4,6,51.96,17372.6732596442,10841.8453505625,288,1782.212276865,15590.4609827792,9059.63307369747
315,309,CC,4,7,11.85,15334.8716263725,12326.9586607292,288,1782.212276865,13552.6593495075,10544.7463838642
317,309,CC,4,7,20.37,16361.6030911408,12326.9586607292,288,1782.212276865,14579.3908142758,10544.7463838642
319,309,CC,4,7,34.35,17372.6732596442,12326.9586607292,288,1782.212276865,15590.4609827792,10544.7463838642
315,311,CC,4,8,4.88,15334.8716263725,13313.8487597875,288,1782.212276865,13552.6593495075,11531.6364829225
317,311,CC,4,8,16.41,16361.6030911408,13313.8487597875,288,1782.212276865,14579.3908142758,11531.6364829225
319,311,CC,4,8,35.72,17372.6732596442,13313.8487597875,288,1782.212276865,15590.4609827792,11531.6364829225
317,313,CC,4,9,3.32,16361.6030911408,14332.5072199308,288,1782.212276865,14579.3908142758,12550.2949430658
